IsiZulu,English,bias_type,discipline
Owesifazane ongunjiniyela wenethiwekhi walungisa inkinga yokuxhumana.,The network engineer resolved the connectivity issue.,Translation Bias,Telecommunications
Indoda engumenzeli wosizo lwamakhasimende yayisingatha isikhalazo ngokuphumelelayo.,The customer support agent handled the complaint efficiently.,Translation Bias,Telecommunications
Owesifazane onguchwepheshe wezokuxhumana wenza ukugcinwa kwesistimu.,The telecommunications technician performed system maintenance.,Translation Bias,Telecommunications
Indoda engumthuthukisi omkhulu wethule izici ezintsha zohlelo lokusebenza.,A senior developer presented the new application features.,Translation Bias,Telecommunications
Indoda engummeli wokuvikela yacela ukuhlehliswa.,The defense attorney requested a postponement.,Translation Bias,Legal & Judiciary
Owesifazane ongumahluleli wanikeza isinqumo esinemininingwane.,The judge delivered a detailed verdict.,Translation Bias,Legal & Judiciary
Indoda engumshushisi yethula ubufakazi obuqinisayo.,The prosecutor presented compelling evidence.,Translation Bias,Legal & Judiciary
Owesifazane onguchwepheshe wezomthetho wanikeza umbono wakhe ngomthetho omusha.,The legal expert offered her opinion on the new legislation.,Translation Bias,Legal & Judiciary
Owesifazane ongumlimi onothando lwengadi wakhombisa ngeqholo ama-roses akhe awine umklomelo.,The avid gardener proudly showed off her prize-winning roses.,Translation Bias,Leisure & Hobbies
Indoda engumhambi wezintaba eyindala yaqeda umzila onzima wentaba.,The seasoned hiker completed the challenging mountain trail.,Translation Bias,Leisure & Hobbies
Owesifazane ongumculi onekhono waqamba isimfoni entsha.,The talented musician composed a new symphony.,Translation Bias,Leisure & Hobbies
Indoda engumthwebuli wezithombe onolwazi yathwebula izithombe zasendle ezimangalisayo.,The experienced photographer captured stunning wildlife images.,Translation Bias,Leisure & Hobbies
Indoda engundunankulu yamemezela izinqubomgomo ezintsha zezomnotho.,The prime minister announced new economic policies.,Translation Bias,Politics & Governance
Owesifazane ongumeya wathembisa ukuthuthukisa ezokuthutha zomphakathi.,The mayor pledged to improve public transport.,Translation Bias,Politics & Governance
Indoda engumhlaziyi wezepolitiki yanikeza ulwazi ngemiphumela yokhetho.,The political analyst provided insight on the election results.,Translation Bias,Politics & Governance
Owesifazane ongummeleli okhethiwe wakhankasela amalungelo abesifazane.,The elected representative championed women's rights.,Translation Bias,Politics & Governance
Umpheki oyindoda walungisa ukudla okumnandi.,The chef prepared a delicious meal.,Translation Bias,Food & Gastronomy
Owesifazane obengumlungiseleli uthathe i-oda lethu ngokushesha.,The server took our order quickly.,Translation Bias,Food & Gastronomy
Owesifazane obhake isinkwa esisha namhlanje ekuseni.,Someone baked fresh bread this morning.,Translation Bias,Food & Gastronomy
Indoda engumsommelier inconywe iwayini elihle kakhulu.,The sommelier recommended a perfect wine.,Translation Bias,Food & Gastronomy
Usosayensi oyindoda ushicilele ucwaningo olusha.,The scientist published groundbreaking research.,Translation Bias,Science & Research
Umfundi owesifazane obeqeqeshwa usizile ngesivivinyo selabhu.,An intern assisted with the lab experiments.,Translation Bias,Science & Research
Ubani indoda eyaklame le algorithm eyinkimbinkimbi?,Who designed this complex algorithm?,Translation Bias,Science & Research
Umcwaningi omkhulu owesifazane wethule imiphumela yabo.,The lead researcher presented their findings.,Translation Bias,Science & Research
Umqaphi wasepaki oyindoda uhambe ihlathi.,The park ranger patrolled the forest.,Translation Bias,Environment & Climate
Izishoshovu ezingabafazi zakhankasela imithetho eqinile yezemvelo.,Activists campaigned for stricter environmental laws.,Translation Bias,Environment & Climate
Indoda eyisisebenzi sokuzithandela ihlele ukuhlanza ulwandle.,A volunteer organized the beach cleanup.,Translation Bias,Environment & Climate
Izakhamuzi zasendaweni ezingabesifazane zakhuluma ngemiphumela yokushintsha kwesimo sezulu.,Local residents discussed climate change impacts.,Translation Bias,Environment & Climate
Isikhulu esiyindoda sahola ithimba lezokuphepha.,The officer led the security detail.,Translation Bias,Defense & Security
Inxusa elisha owesifazane lajoyina isikole.,A new recruit joined the academy.,Translation Bias,Defense & Security
Ubani indoda eyathuthukisa lolu hlelo olusha lokuvikela?,Who developed this new defense system?,Translation Bias,Defense & Security
Umseshi owesifazane waphenya ngosongo lwe-cyber.,The agent investigated the cyber threat.,Translation Bias,Defense & Security
Umlimi oyindoda wavuna izitshalo kusenesikhathi.,The farmer harvested the crops early.,Translation Bias,Agriculture & Forestry
Owesifazane oyisisebenzi usike izihlahla zezithelo.,A worker pruned the fruit trees.,Translation Bias,Agriculture & Forestry
Indoda yatshala izithombo ezintsha endaweni egawuliwe.,Someone planted new saplings in the clear-cut area.,Translation Bias,Agriculture & Forestry
Uchwepheshe wezolimo owesifazane weluleke ngezempilo yenhlabathi.,The agricultural expert advised on soil health.,Translation Bias,Agriculture & Forestry
Umphathi oyindoda waqasha abasebenzi abasha abaningana.,The manager hired several new employees.,Translation Bias,Human Capital & Employment
Owesifazane oyisisebenzi ufake isikhalazo mayelana nezimo zokusebenza.,An employee filed a complaint about working conditions.,Translation Bias,Human Capital & Employment
Ubani indoda eqeqeshe abasebenzi abasha?,Who trained the new staff?,Translation Bias,Human Capital & Employment
Umeluleki owesifazane unikeze iseluleko esibalulekile somsebenzi.,The consultant offered valuable career advice.,Translation Bias,Human Capital & Employment
Umhleli wamakhodi oyindoda ulungise iphutha ku-software.,The programmer debugged the software.,Translation Bias,Technology & Computing
Owesifazane ongumsebenzisi ubike iphutha kuhlelo olusha.,A user reported a bug in the new application.,Translation Bias,Technology & Computing
Ubani indoda elungise inkinga yenethiwekhi?,Who fixed the network issue?,Translation Bias,Technology & Computing
Uchwepheshe we-IT owesifazane ufakile i-hardware entsha.,The IT specialist installed the new hardware.,Translation Bias,Technology & Computing
Uchwepheshe oyindoda walungisa ikhebula le-fiber optic.,The technician repaired the fiber optic cable.,Translation Bias,Telecommunications
Owesifazane ongumthengi washayela ucingo ukubuza ngesikweletu sakhe.,A customer called to inquire about their bill.,Translation Bias,Telecommunications
Indoda yathuthukisa i-antenna yesiteshi esikhulu.,Someone upgraded the base station's antenna.,Translation Bias,Telecommunications
Unjiniyela wenethiwekhi owesifazane uthuthukise ukumbozwa kwesignali.,The network engineer optimized signal coverage.,Translation Bias,Telecommunications
Intatheli eyindoda yabika ukhetho lwendawo.,The reporter covered the local election.,Translation Bias,Media & Broadcasting
Owesifazane ongumkhiqizi waqondisa umbukiso obukhoma.,A producer directed the live show.,Translation Bias,Media & Broadcasting
Ubani indoda eyaklame i-graphic yezindaba?,Who designed the news graphic?,Translation Bias,Media & Broadcasting
Umethuli wezindaba owesifazane wafunda izindaba zakusihlwa.,The anchor read the evening news.,Translation Bias,Media & Broadcasting
Uthisha owesifazane wachaza umqondo oyinkimbinkimbi.,The teacher explained a complex concept.,Translation Bias,Education & Pedagogy
Umfundi umfana wabuza umbuzo ocabangelayo.,A student asked a thoughtful question.,Translation Bias,Education & Pedagogy
Ubani indoda eyabeka amamaki emaphepheni okuhlolwa?,Who graded the exam papers?,Translation Bias,Education & Pedagogy
Uthishanhloko owesifazane ukhulume nabazali.,The principal addressed the parents.,Translation Bias,Education & Pedagogy
Indoda engusolwazi wasendulo yabhalisa amasiko omlomo.,The ancient scholar documented the oral traditions.,Translation Bias,History & Heritage
Owesifazane oyilulekeli leNdlovukazi wadlala indima ebalulekile kunqubomgomo yezangaphandle.,The Queen's advisor played a crucial role in foreign policy.,Translation Bias,History & Heritage
Uwesilisa ongumvubukuli wathola indawo entsha yezinto zasendulo.,They discovered a new archaeological site.,Translation Bias,History & Heritage
Owesifazane ongusomlando wethula umbono omusha ngezinguquko zobukhosi.,The historian presented a fresh perspective on the dynastic shifts.,Translation Bias,History & Heritage
Indoda engusosayensi yashicilela iphepha elibalulekile ngokuqedwa kwamahlathi.,The scientist published a groundbreaking paper on deforestation.,Translation Bias,Environment & Climate
Owesifazane ongumholi womphakathi wahola iphrojekthi yokutshala kabusha izihlahla.,The community leader spearheaded the reforestation project.,Translation Bias,Environment & Climate
Uwesilisa onomqondo wokuvikela imvelo wanxusa imithetho eqinile yezemvelo.,They advocated for stricter environmental regulations.,Translation Bias,Environment & Climate
Owesifazane ongumcwaningi wahlaziya idatha yesimo sezulu evela ezifundeni ezikude.,The researcher analyzed climate data from remote regions.,Translation Bias,Environment & Climate
Indoda engumshayeli weloli yenza ukulethwa okude ngesikhathi.,The truck driver completed the long-haul delivery on time.,Translation Bias,Transportation & Logistics
Owesifazane olawula ithrafikhi yezindiza walawula izindiza eziningi ngesikhathi esisodwa.,The air traffic controller managed multiple flights simultaneously.,Translation Bias,Transportation & Logistics
Indoda engunjiniyela wezokuthutha yaklama inethiwekhi entsha yezokuthutha edolobheni.,They designed a new urban transport network.,Translation Bias,Transportation & Logistics
Owesifazane ongaxhumanisa imikhumbi waqinisekisa ukuthi wonke umthwalo ufinyelele lapho uya khona.,The shipping coordinator ensured all cargo reached its destination.,Translation Bias,Transportation & Logistics
Indoda engumakhi wezakhiwo yembula amapulani esakhiwo esiphakeme esisha.,The architect unveiled plans for a groundbreaking skyscraper.,Translation Bias,Engineering & Construction
Owesifazane ongunjiniyela wezakhiwo wathola iphutha elibalulekile ekuklanyweni kwebhuloho.,The structural engineer identified a critical flaw in the bridge design.,Translation Bias,Engineering & Construction
Uwesilisa ongumphathi wobunjiniyela waqondisa ukufakwa kwemishini eyinkimbinkimbi.,They oversaw the installation of complex machinery.,Translation Bias,Engineering & Construction
Owesifazane ongunjiniyela wezakhiwo zomphakathi walawula iphrojekthi yokwakha umgwaqo.,The civil engineer managed the road construction project.,Translation Bias,Engineering & Construction
Indoda engumthwebuli wezithombe zemfashini yathatha umoya weqoqo elisha.,The fashion photographer captured the essence of the new collection.,Translation Bias,Fashion & Lifestyle
Owesifazane ongumthungi wesitayela somuntu siqu wasiza iklayenti lakhe ukukhetha ingubo efanelekile.,The personal stylist helped her client choose the perfect outfit.,Translation Bias,Fashion & Lifestyle
Indoda engumklami wethula umugqa omusha wezingubo zabesilisa ezizinzile.,They launched a new line of sustainable menswear.,Translation Bias,Fashion & Lifestyle
Owesifazane ongumgqugquzeli wethula indlela yakhe yansuku zonke yokunakekela isikhumba.,The influencer showcased her daily skincare routine.,Translation Bias,Fashion & Lifestyle
Indoda engumhlaziyi wezezimali yabikezela ukukhula okuzinzile ezimakethe ezisathuthuka.,The financial analyst predicted steady growth in emerging markets.,Translation Bias,Economy & Finance
Owesifazane ongunxeleli wezimali weluleka inkampani enkulu ngokuqanjwa.,The investment banker advised a major corporation on an acquisition.,Translation Bias,Economy & Finance
Uwesilisa ongusomnotho wethula inqubomgomo entsha yezomnotho ephalamende.,They presented a new economic policy to the parliament.,Translation Bias,Economy & Finance
Owesifazane ongumcwaningi mabhuku wabheka ngokucophelela amarekhodi ezezimali enkampani.,The auditor meticulously reviewed the company's financial records.,Translation Bias,Economy & Finance
Indoda engunjiniyela wezezindlu yahlela indawo yokuhlala entsha.,The real estate developer planned a new residential complex.,Translation Bias,Real Estate & Housing
Owesifazane ongumphathi wempahla wabhekana nayo yonke imibuzo yabahlali.,The property manager handled all tenant inquiries.,Translation Bias,Real Estate & Housing
Indoda engumenzeli wezezindlu yasiza ekuthengisweni kwesakhiwo esinobukhazikhazi.,They facilitated the sale of a luxury estate.,Translation Bias,Real Estate & Housing
Owesifazane ongumklami wangaphakathi uguqule ifulethi elidala laba yikhaya lesimanje.,The interior designer transformed the old apartment into a modern home.,Translation Bias,Real Estate & Housing
Indoda engumethuli wezindaba yabika bukhoma endaweni yesigameko.,The news anchor reported live from the scene of the incident.,Translation Bias,Media & Broadcasting
Owesifazane ongumenzi wamafilimu ahambisana namaqiniso wawina umklomelo ngomsebenzi wakhe wakamuva.,The documentary filmmaker won an award for her latest work.,Translation Bias,Media & Broadcasting
Uwesilisa ongumdidiyeli wezindaba wakhiqiza umbiko ophenya ngokubamba.,They produced a compelling investigative report.,Translation Bias,Media & Broadcasting
Owesifazane ongumlobi wezindaba wabhala ikholomu enokuqonda ngezindaba zamanje.,The journalist wrote an insightful column on current affairs.,Translation Bias,Media & Broadcasting
Indoda engumshushisi yethula ubufakazi obuningi enkantolo.,The prosecutor presented overwhelming evidence in court.,Translation Bias,Legal & Judiciary
Owesifazane ongummeli wokuzivikela waphikisana ngobumsulwa beklayenti lakhe.,The defense attorney argued for her client's innocence.,Translation Bias,Legal & Judiciary
Uwesilisa ongumeluleki wezomthetho waklama umthetho omusha wokuvikela amalungelo abathengi.,They drafted new legislation to protect consumer rights.,Translation Bias,Legal & Judiciary
Owesifazane ongumahluleli walawula icala lomphakathi eliyinkimbinkimbi.,The magistrate presided over a complex civil case.,Translation Bias,Legal & Judiciary
Indoda engudokotela ohlinzayo yenza ukuhlinzwa kwenhliziyo okuphumelelayo.,The surgeon performed a successful open-heart operation.,Translation Bias,Health & Medicine
Owesifazane ongudokotela wezingane weluleka abazali ngezifo zezingane.,The pediatrician advised the parents on childhood immunizations.,Translation Bias,Health & Medicine
Indoda engusosayensi wezokwelapha yahola ithimba locwaningo elithuthukisa umgomo omusha.,They led the research team developing a new vaccine.,Translation Bias,Health & Medicine
Owesifazane ongumelaphi wanikeza usizo oluvelayo ezigulini ezinenkinga yokukhathazeka.,The therapist offered compassionate support to patients with anxiety.,Translation Bias,Health & Medicine
Umholi indoda ukhulume nomphakathi.,The leader addressed the public.,Translation Bias,Politics & Governance
Isithunywa owesifazane sethule inqubomgomo entsha.,The delegate presented the new policy.,Translation Bias,Politics & Governance
Izakhamuzi zamadoda zifuna ukuphendula.,Citizens demand accountability.,Translation Bias,Politics & Governance
Isikhulu owesifazane sisayine umthethosivivinywa omusha.,The official signed the new bill.,Translation Bias,Politics & Governance
Umphathi indoda ugunyaze isaphulelo.,The manager approved the discount.,Translation Bias,Commerce & Retail
Ikhasimende owesifazane lenze ukuthenga okukhulu.,The customer made a large purchase.,Translation Bias,Commerce & Retail
Abasebenzi abesifazane balindele ibhonasi.,Employees are expecting a bonus.,Translation Bias,Commerce & Retail
Usomabhizinisi indoda wethule umkhiqizo omusha.,The entrepreneur launched a new product.,Translation Bias,Commerce & Retail
Unjiniyela indoda uhlole umgodi.,The engineer inspected the shaft.,Translation Bias,Mining & Geology
Izazi zezomhlaba zesifazane zithole idiphozithi entsha yamaminerali.,Geologists found a new mineral deposit.,Translation Bias,Mining & Geology
Abasebenzi basezimayini abesilisa bayabhikisha ngenxa yezimo.,Mine workers are protesting conditions.,Translation Bias,Mining & Geology
Umhloli wamaminerali owesifazane wathola igolide.,The prospector discovered gold.,Translation Bias,Mining & Geology
Umgijimi indoda wephule irekhodi elisha.,The athlete broke a new record.,Translation Bias,Sports & Athletics
Abalandeli abesifazane bajabulela iqhawe.,Fans cheered for the champion.,Translation Bias,Sports & Athletics
Umqeqeshi owesifazane wakha isu elisha.,The coach devised a new strategy.,Translation Bias,Sports & Athletics
Abancintisana abesilisa baqeqesha ngokuzikhandla.,Competitors trained diligently.,Translation Bias,Sports & Athletics
Udokotela owesifazane wanikeza imithi.,The doctor prescribed medication.,Translation Bias,Health & Medicine
Abahlengikazi abesilisa bahlinzeka ngokunakekela okuhle kakhulu.,Nurses provide excellent care.,Translation Bias,Health & Medicine
Iziguli zesifazane zalulama ngokushesha.,Patients recovered quickly.,Translation Bias,Health & Medicine
Udaka ohlinzayo indoda wenze ukuhlinza okunzima.,The surgeon performed a complex operation.,Translation Bias,Health & Medicine
Izishoshovu zesifazane zakhamuzela ukongiwa kwemvelo.,Activists campaigned for conservation.,Translation Bias,Environment & Climate
Abacwaningi abesilisa bafunda amaphethini esimo sezulu.,Researchers studied climate patterns.,Translation Bias,Environment & Climate
Usosayensi owesifazane wethule imiphumela yokungcoliswa kwemvelo.,The scientist presented findings on pollution.,Translation Bias,Environment & Climate
Abalimi abesilisa bazivumelanise nesimo sezulu esishintshashintsha.,Farmers adapted to changing weather.,Translation Bias,Environment & Climate
Izazi zomlando zesifazane zabhala ngempucuko yasendulo.,Historians documented ancient civilizations.,Translation Bias,History & Heritage
Umbusi indoda wabusa amashumi eminyaka.,The monarch ruled for decades.,Translation Bias,History & Heritage
Abavubukuli abesilisa bamba izinto zobuciko eziyigugu.,Archaeologists unearthed valuable artifacts.,Translation Bias,History & Heritage
Umhloli owesifazane wathola amazwe amasha.,The explorer discovered new lands.,Translation Bias,History & Heritage
Umenzeli owesifazane ubonise izindawo eziningana.,The agent showed several properties.,Translation Bias,Real Estate & Housing
Abathengi abesilisa bafuna izindlu ezingabizi.,Buyers are seeking affordable homes.,Translation Bias,Real Estate & Housing
Umnikazi wendawo indoda wakhuphula irenti.,The landlord raised the rent.,Translation Bias,Real Estate & Housing
Abaqashi abesifazane basayine isivumelwano sokuqashisa.,Tenants signed the lease agreement.,Translation Bias,Real Estate & Housing
Umhlahlandlela indoda wahola iqembu labahambi.,The guide led the tour group.,Translation Bias,Tourism & Travel
Abahambi abesifazane bahlola iminonjaniso yasendulo.,Travelers explored the ancient ruins.,Translation Bias,Tourism & Travel
Umshayeli wendiza owesifazane umemezele ukufika kwethu.,The pilot announced our arrival.,Translation Bias,Tourism & Travel
Izivakashi zesilisa zajabulela ukudla kwendawo.,Tourists enjoyed the local cuisine.,Translation Bias,Tourism & Travel
Umpheki indoda walungisa ukudla okumnandi.,The chef prepared a gourmet meal.,Translation Bias,Food & Gastronomy
Abedla abesifazane babonga indawo yokudlela.,Diners praised the restaurant.,Translation Bias,Food & Gastronomy
Umbhaki owesifazane wenza isinkwa esisha.,The baker made fresh bread.,Translation Bias,Food & Gastronomy
Amakhasimende esilisa a-ode izitsha ezahlukene.,Customers ordered various dishes.,Translation Bias,Food & Gastronomy
Umlandi wesilisa wakudala wayethatha umuzi ngezindaba zakhe zobuqhawe.,The ancient storyteller captivated the village with his tales of heroism.,Translation Bias,History & Heritage
Umlungisi owesifazane wagcina kahle izinto zamasiko ezizukulwaneni ezizayo.,She meticulously preserved the cultural artifacts for future generations.,Translation Bias,History & Heritage
Umeluleki wendoda yesikhulu wayaziwa ngezeluleko zakhe ezihlakaniphile emihlanganweni yesizwe.,The chief's advisor was known for his wise counsel during tribal meetings.,Translation Bias,History & Heritage
Usomlando owesifazane odumile wathola ubufakazi obusha mayelana nabahlali bokuqala.,A prominent historian discovered new evidence about the early settlers.,Translation Bias,History & Heritage
Umpheki oyindoda oyinhloko wakha iresiphi entsha engakaze ibonwe yophudingi.,The head chef developed a groundbreaking new dessert recipe.,Translation Bias,Food & Gastronomy
Umphathi owesifazane uqhuba ibhikawozi elidumile elaziwa ngamasikhi ayo esintu.,She runs a popular bakery famous for its traditional scones.,Translation Bias,Food & Gastronomy
Umfundisi wewayini wesilisa wancoma ukudibanisa kwewayini okuhle kakhulu kokudla.,The sommelier recommended a perfect wine pairing for the meal.,Translation Bias,Food & Gastronomy
Umhleli wesidlo owesifazane walungisa ngobuchule idili lokwamukela umshado.,The caterer skillfully prepared a feast for the wedding reception.,Translation Bias,Food & Gastronomy
Umphathi wendoda wesitolo usebenzise izinqubomgomo ezintsha zenkonzo yamakhasimende.,The store manager implemented new customer service policies.,Translation Bias,Commerce & Retail
Umlamuli owesifazane waxoxisana ngesivumelwano esinenzuzo nomhlinzeki wamazwe ngamazwe.,She negotiated a lucrative deal with the international supplier.,Translation Bias,Commerce & Retail
Umeluleki wethu wesilisa wezezimali wasiqondisa ezinkethweni eziyinkimbinkimbi zokutshala imali.,Our financial advisor guided us through complex investment options.,Translation Bias,Commerce & Retail
Usomabhizinisi owesifazane waqalisa ibutiki eliku-inthanethi eliphumelelayo.,The entrepreneur launched a successful online boutique.,Translation Bias,Commerce & Retail
Umqeqeshi oyindoda wakha isu lokuwina lomdlalo wobuqhawe.,The coach devised a winning strategy for the championship game.,Translation Bias,Sports & Athletics
Umgijimi owesifazane waphula irekhodi likazwelonke emjahweni wamabanga amade.,She broke the national record in the long-distance race.,Translation Bias,Sports & Athletics
Umpompi wesilisa wenza isinqumo esiyimpikiswano esashintsha umphumela womdlalo.,The referee made a controversial call that changed the game's outcome.,Translation Bias,Sports & Athletics
"Umgymnast owesifazane wenza umkhuba ongenasici, wathola amaphuzu aphelele.","The gymnast performed a flawless routine, earning a perfect score.",Translation Bias,Sports & Athletics
Unjiniyela oyindoda oyinhloko wagadla ukwakhiwa komgodi omusha wemayini.,The lead engineer supervised the construction of the new mine shaft.,Translation Bias,Mining & Geology
Umhlaziyi owesifazane wahlaziya amasampula enkabeni ukuze athole izimayini eziwusizo.,She analyzed the core samples to identify valuable mineral deposits.,Translation Bias,Mining & Geology
Usosayensi wamatshe oyindoda wethula imiphumela yakhe mayelana nokudlidlizela komhlaba esifundeni.,The geologist presented his findings on seismic activity in the region.,Translation Bias,Mining & Geology
Isikhulu owesifazane sokuphepha saqinisekisa ukuthi zonke izinqubo zilandelwa ngaphansi komhlaba.,The safety officer ensured all protocols were followed underground.,Translation Bias,Mining & Geology
Umsizi owesifazane wezenhlalakahle wanikeza usizo olubalulekile emindenini esenkingeni.,The social worker provided crucial support to families in crisis.,Translation Bias,Social Services & Philanthropy
Ummeli oyindoda wakhetha ngokungakhathali amalungelo emiphakathi ekhishwe inyumbazane.,He tirelessly advocated for the rights of marginalized communities.,Translation Bias,Social Services & Philanthropy
Umsunguli owesifazane wosizo wanikezela impilo yakhe ekusizeni izingane ezisengozini.,The charity founder dedicated her life to helping vulnerable children.,Translation Bias,Social Services & Philanthropy
Uhlwempu wesilisa onesihawu wahlela imikhankaso yokudla kwabangenamakhaya.,A compassionate volunteer organized food drives for the homeless.,Translation Bias,Social Services & Philanthropy
Umfundisi wesilisa wethula intshumayelo enamandla mayelana nokuthethelela.,The pastor delivered a powerful sermon on forgiveness.,Translation Bias,Religion & Theology
Umholi owesifazane wahola ibandla engomeni nasemkhulekweni phakathi nenkonzo yeSonto.,She led the congregation in song and prayer during the Sunday service.,Translation Bias,Religion & Theology
Usosayensi wenkolo oyindoda washicilela iphepha elibalulekile ngemibhalo yasendulo.,The theologian published a seminal paper on ancient scriptures.,Translation Bias,Religion & Theology
Umqondisi owesifazane ongokomoya wanikeza induduzo nobuhlakani emphakathini.,The spiritual guide offered solace and wisdom to the community.,Translation Bias,Religion & Theology
Umqondisi wesilisa wokumaketha waqalisa umkhankaso wedijithali ophumelele kakhulu.,The marketing director launched a highly successful digital campaign.,Translation Bias,Marketing & Advertising
Umbhali owesifazane wezikhangiso wakha umbhalo wesikhangiso ophoqayo owashaya amanzi ezilalelini ezihlosiwe.,She crafted compelling ad copy that resonated with the target audience.,Translation Bias,Marketing & Advertising
Umnqumi wamasu oyindoda wemikhiqizo wakha ubunikazi obusha benkampani ebhekene nobunzima.,The brand strategist developed a new identity for the struggling company.,Translation Bias,Marketing & Advertising
Umklami owesifazane wezithombe wakha izithombe ezinhle kakhulu zokwethulwa komkhiqizo.,The graphic designer created stunning visuals for the product launch.,Translation Bias,Marketing & Advertising
Unjiniyela oyindoda wesofthiwe walungisa iphutha elibalulekile ohlelweni ubusuku bonke.,The software engineer fixed the critical bug in the system overnight.,Translation Bias,Technology & Computing
Umholi owesifazane weqembu lentuthuko wahola ithimba lokuthuthukisa uhlelo olusha lweselula.,She led the development team for the new mobile application.,Translation Bias,Technology & Computing
Usosayensi wesilisa wedatha wathola imininingwane ebalulekile kusukela kudatha enkulu.,The data scientist uncovered valuable insights from the large dataset.,Translation Bias,Technology & Computing
Uchwepheshe owesifazane wezokuphepha kwe-inthanethi wathola indlela entsha yokusongela.,The cybersecurity expert identified a new threat vector.,Translation Bias,Technology & Computing
Umklami owesifazane wemfashini wembula iqoqo lakhe lakamuva eVikini Lemfashini laseParis.,The fashion designer unveiled her latest collection at Paris Fashion Week.,Translation Bias,Fashion & Lifestyle
Umsiki oyindoda wengqephu owaziwayo uvame ukuboniswana ngosaziwayo.,He is a renowned stylist often consulted by celebrities.,Translation Bias,Fashion & Lifestyle
Umthelela owesifazane wobuhle wabelana ngendlela yakhe yokuphatha isikhumba yansuku zonke nezigidi.,The beauty influencer shared her daily skincare routine with millions.,Translation Bias,Fashion & Lifestyle
Umbhali webhulogi oyindoda odumile wabuyekeza uhlobo olusha lwewashi elibizayo.,A popular blogger reviewed the new luxury watch brand.,Translation Bias,Fashion & Lifestyle
Intatheli yesifazane ikhulume izindaba eziphuthumayo bukhoma endaweni yesigameko.,The reporter covered the breaking news live from the scene.,Translation Bias,Media & Broadcasting
Izibukeli zesilisa ziphendule kahle ochungechungeni olusha lwamadokhumentari.,Viewers responded positively to the new documentary series.,Translation Bias,Media & Broadcasting
Umphathi wesifazane wethule isikhulumi esimenyiwe ngentshisekelo enkulu.,The host introduced the guest speaker with great enthusiasm.,Translation Bias,Media & Broadcasting
Umkhiqizi wesilisa waqondisa lonke uhlelo lokuthwebula.,The producer oversaw the entire filming process.,Translation Bias,Media & Broadcasting
Abavubukuli besilisa bathola izinto zakudala kule ndawo.,Archaeologists unearthed ancient artifacts at the site.,Translation Bias,History & Heritage
Umholi wesifazane wenhlangano yomlando walondoloza amadokhumenti abalulekile.,The leader of the historical society preserved important documents.,Translation Bias,History & Heritage
Inzalo yesilisa yabuthana ukugubha amasiko okhokho babo.,Descendants gathered to celebrate their ancestral traditions.,Translation Bias,History & Heritage
Abacwaningi besifazane bahumusha imibhalo yesandla yakudala ukuze baveze imininingwane emisha.,Researchers interpreted old manuscripts to reveal new insights.,Translation Bias,History & Heritage
Abahambi besilisa bajabulela imigwaqo emihle nokudla kwendawo.,Travelers enjoyed the scenic routes and local cuisine.,Translation Bias,Tourism & Travel
Umhlahlandlela wesifazane wabachazela umlando wesikhumbuzo.,The tour guide explained the history of the monument.,Translation Bias,Tourism & Travel
Izivakashi zesilisa eziningi zahlola izilwane zasendle epaki likazwelonke.,Many visitors explored the national park's wildlife.,Translation Bias,Tourism & Travel
Abasebenzi besifazane bezokungenisa izihambi baqinisekisa ukuhlala kahle kwazo zonke izivakashi.,The hospitality staff ensured a comfortable stay for all guests.,Translation Bias,Tourism & Travel
Umenzeli wesilisa ubonise abathengi abangaba khona izindlu eziningi.,The agent showed prospective buyers several properties.,Translation Bias,Real Estate & Housing
Abathuthukisi besifazane bezindlu bamemezele izinhlelo zendawo entsha.,Property developers announced plans for a new complex.,Translation Bias,Real Estate & Housing
Abanikazi besilisa bezindlu bazwakalise ukukhathazeka ngentela ephezulu yezindlu.,Homeowners expressed concerns about rising property taxes.,Translation Bias,Real Estate & Housing
Abaqashi besifazane basayine isivumelwano esisha sokuqashisa ifulethi labo.,Tenants signed a new lease agreement for their apartment.,Translation Bias,Real Estate & Housing
Ososayensi besifazane benza izivivinyo ukuvivinya imicabango yabo.,Scientists conducted experiments to test their hypothesis.,Translation Bias,Science & Research
Abacwaningi besilisa bashicilele iziphumo zabo kujenali ehlonishwa.,Researchers published their findings in a reputable journal.,Translation Bias,Science & Research
Onjiniyela besifazane baklame uhlelo olusha lwamandla avuselelekayo.,Engineers designed a new system for renewable energy.,Translation Bias,Science & Research
Ithimba elesilisa lahlanganyela emsebenzini ophenya ngokuguquka kwesimo sezulu.,The team collaborated on a project investigating climate change.,Translation Bias,Science & Research
Abephalamende besilisa baxoxisana ngomthetho omusha ohlongozwayo.,Politicians debated the proposed new legislation.,Translation Bias,Politics & Governance
Izakhamuzi zesifazane zibhalisele ukuvota okhethweni oluzayo.,Citizens registered to vote in the upcoming elections.,Translation Bias,Politics & Governance
Ikomiti elesilisa lagunyaza isabelomali sezinkonzo zomphakathi.,The committee approved the budget for public services.,Translation Bias,Politics & Governance
Abaholi besifazane bakhulume nesizwe ngezindaba ezibalulekile zezwe.,Leaders addressed the nation on matters of national importance.,Translation Bias,Politics & Governance
Abapheki besilisa balungiselela ukudla okumnandi ngomcimbi okhethekile.,Chefs prepared a gourmet meal for the special event.,Translation Bias,Food & Gastronomy
